
Start of a new data set 
The energy is15000
 h k l 2theta Intensity
0 5 9 180.000000 1.896789
0 6 0 180.000000 8.940744
0 6 2 180.000000 8.786892
0 6 4 180.000000 8.344547
0 6 6 180.000000 7.667109
0 6 8 180.000000 6.830841
0 9 0 180.000000 2.070811
0 9 2 180.000000 2.052790
0 9 4 180.000000 2.000531
0 9 6 180.000000 1.919114
0 9 8 180.000000 1.815994
1 0 9 180.000000 6.151045
1 1 8 180.000000 32.281359
1 2 3 180.000000 6.628334
1 2 4 180.000000 2.117578
1 2 5 180.000000 6.030725
1 2 6 180.000000 1.891176
1 2 7 180.000000 5.290029
1 2 8 180.000000 1.629421
1 2 9 180.000000 4.476358
1 3 0 180.000000 1.668542
1 3 1 180.000000 4.979453
1 3 2 180.000000 1.633975
1 3 3 180.000000 4.775901
1 3 4 180.000000 1.535279
1 3 5 180.000000 4.397429
1 3 6 180.000000 1.385757
1 3 7 180.000000 3.892517
1 3 8 180.000000 1.203527
1 3 9 180.000000 3.318813
1 4 0 180.000000 17.850427
1 4 2 180.000000 17.502167
1 4 4 180.000000 16.503257
1 4 6 180.000000 14.980811
1 4 8 180.000000 13.115204
1 5 1 180.000000 2.080864
1 5 3 180.000000 2.006701
1 5 5 180.000000 1.867695
1 5 7 180.000000 1.680437
1 5 9 180.000000 1.465339
1 6 1 180.000000 1.248167
1 6 3 180.000000 1.208743
1 6 5 180.000000 1.134616
1 6 7 180.000000 1.034225
1 7 0 180.000000 3.999396
1 7 2 180.000000 3.946182
1 7 4 180.000000 3.792580
1 7 6 180.000000 3.555466
1 7 8 180.000000 3.259208
2 0 6 180.000000 2.247865
2 0 7 180.000000 6.232156
2 0 8 180.000000 1.909192
2 0 9 180.000000 5.226718
2 1 3 180.000000 6.628334
2 1 4 180.000000 2.117578
2 1 5 180.000000 6.030725
2 1 6 180.000000 1.891176
2 1 7 180.000000 5.290029
2 1 8 180.000000 1.629421
2 1 9 180.000000 4.476358
2 2 0 180.000000 28.130428
2 2 2 180.000000 27.540424
2 2 4 180.000000 25.860231
2 2 6 180.000000 23.322428
2 2 8 180.000000 20.235438
2 3 0 180.000000 1.231094
2 3 1 180.000000 3.674862
2 3 2 180.000000 1.206741
2 3 3 180.000000 3.531201
2 3 4 180.000000 1.136913
2 3 5 180.000000 3.262702
2 3 6 180.000000 1.030558
2 3 7 180.000000 2.902703
2 3 9 180.000000 2.491945
2 4 1 180.000000 2.386741
2 4 3 180.000000 2.299477
2 4 5 180.000000 2.136032
2 4 7 180.000000 1.916121
2 4 9 180.000000 1.663961
2 5 0 180.000000 7.871740
2 5 2 180.000000 7.740359
2 5 4 180.000000 7.362418
2 5 6 180.000000 6.783000
2 5 8 180.000000 6.066568
2 8 0 180.000000 1.943894
2 8 2 180.000000 1.928004
2 8 4 180.000000 1.881900
2 8 6 180.000000 1.809998
2 8 8 180.000000 1.718790
3 0 0 180.000000 33.131388
3 0 2 180.000000 32.379531
3 0 4 180.000000 30.288280
3 0 6 180.000000 27.212922
3 0 8 180.000000 23.530485
3 1 0 180.000000 1.668542
3 1 1 180.000000 4.979453
3 1 2 180.000000 1.633975
3 1 3 180.000000 4.775901
3 1 4 180.000000 1.535279
3 1 5 180.000000 4.397429
3 1 6 180.000000 1.385757
3 1 7 180.000000 3.892517
3 1 8 180.000000 1.203527
3 1 9 180.000000 3.318813
3 2 0 180.000000 1.231094
3 2 1 180.000000 3.674862
3 2 2 180.000000 1.206741
3 2 3 180.000000 3.531201
3 2 4 180.000000 1.136913
3 2 5 180.000000 3.262702
3 2 6 180.000000 1.030558
3 2 7 180.000000 2.902703
3 2 9 180.000000 2.491945
3 3 0 180.000000 13.398041
3 3 2 180.000000 13.148183
3 3 4 180.000000 12.430855
3 3 6 180.000000 11.335560
3 3 8 180.000000 9.989637
3 4 1 180.000000 1.599131
3 4 3 180.000000 1.545269
3 4 5 180.000000 1.444160
3 4 7 180.000000 1.307602
3 4 9 180.000000 1.150157
3 6 0 180.000000 3.304570
3 6 2 180.000000 3.264506
3 6 4 180.000000 3.148721
3 6 6 180.000000 2.969560
3 6 8 180.000000 2.744912
3 9 0 180.000000 1.214124
3 9 2 180.000000 1.209670
3 9 4 180.000000 1.196692
3 9 6 180.000000 1.176273
3 9 8 180.000000 1.150040
4 0 0 180.000000 1.430735
4 0 1 180.000000 4.270344
4 0 2 180.000000 1.401839
4 0 3 180.000000 4.099956
4 0 4 180.000000 1.319068
4 0 5 180.000000 3.781907
4 0 6 180.000000 1.193180
4 0 7 180.000000 3.356124
4 0 8 180.000000 1.039305
4 0 9 180.000000 2.871130
4 1 0 180.000000 17.850427
4 1 2 180.000000 17.502167
4 1 4 180.000000 16.503257
4 1 6 180.000000 14.980811
4 1 8 180.000000 13.115204
4 2 1 180.000000 2.386741
4 2 3 180.000000 2.299477
4 2 5 180.000000 2.136032
4 2 7 180.000000 1.916121
4 2 9 180.000000 1.663961
4 3 1 180.000000 1.599131
4 3 3 180.000000 1.545269
4 3 5 180.000000 1.444160
4 3 7 180.000000 1.307602
4 3 9 180.000000 1.150157
4 4 0 180.000000 5.504252
4 4 2 180.000000 5.421436
4 4 4 180.000000 5.182809
4 4 6 180.000000 4.815739
4 4 8 180.000000 4.359541
4 7 0 180.000000 1.645140
4 7 2 180.000000 1.634121
4 7 4 180.000000 1.602105
4 7 6 180.000000 1.552029
4 7 8 180.000000 1.488239
5 0 1 180.000000 2.747063
5 0 3 180.000000 2.644203
5 0 5 180.000000 2.451681
5 0 7 180.000000 2.192954
5 0 9 180.000000 1.896789
5 1 1 180.000000 2.080864
5 1 3 180.000000 2.006701
5 1 5 180.000000 1.867695
5 1 7 180.000000 1.680437
5 1 9 180.000000 1.465339
5 2 0 180.000000 7.871740
5 2 2 180.000000 7.740359
5 2 4 180.000000 7.362418
5 2 6 180.000000 6.783000
5 2 8 180.000000 6.066568
5 5 0 180.000000 2.378869
5 5 2 180.000000 2.355549
5 5 4 180.000000 2.287997
5 5 6 180.000000 2.182985
5 5 8 180.000000 2.050405
5 8 0 180.000000 1.105572
5 8 2 180.000000 1.102657
5 8 4 180.000000 1.094155
5 8 6 180.000000 1.080751
5 8 8 180.000000 1.063482
6 0 0 180.000000 8.940744
6 0 2 180.000000 8.786892
6 0 4 180.000000 8.344547
6 0 6 180.000000 7.667109
6 0 8 180.000000 6.830841
6 1 1 180.000000 1.248167
6 1 3 180.000000 1.208743
6 1 5 180.000000 1.134616
6 1 7 180.000000 1.034225
6 3 0 180.000000 3.304570
6 3 2 180.000000 3.264506
6 3 4 180.000000 3.148721
6 3 6 180.000000 2.969560
6 3 8 180.000000 2.744912
6 6 0 180.000000 1.332497
6 6 2 180.000000 1.326307
6 6 4 180.000000 1.308284
6 6 6 180.000000 1.279982
6 6 8 180.000000 1.243720
7 1 0 180.000000 3.999396
7 1 2 180.000000 3.946182
7 1 4 180.000000 3.792580
7 1 6 180.000000 3.555466
7 1 8 180.000000 3.259208
7 4 0 180.000000 1.645140
7 4 2 180.000000 1.634121
7 4 4 180.000000 1.602105
7 4 6 180.000000 1.552029
7 4 8 180.000000 1.488239
7 7 0 180.000000 1.007880
7 7 2 180.000000 1.006300
7 7 4 180.000000 1.001684
8 2 0 180.000000 1.943894
8 2 2 180.000000 1.928004
8 2 4 180.000000 1.881900
8 2 6 180.000000 1.809998
8 2 8 180.000000 1.718790
8 5 0 180.000000 1.105572
8 5 2 180.000000 1.102657
8 5 4 180.000000 1.094155
8 5 6 180.000000 1.080751
8 5 8 180.000000 1.063482
9 0 0 180.000000 2.070811
9 0 2 180.000000 2.052790
9 0 4 180.000000 2.000531
9 0 6 180.000000 1.919114
9 0 8 180.000000 1.815994
9 3 0 180.000000 1.214124
9 3 2 180.000000 1.209670
9 3 4 180.000000 1.196692
9 3 6 180.000000 1.176273
9 3 8 180.000000 1.150040

Start of a new data set 
The energy is8047
 h k l 2theta Intensity
0 0 2 26.605935 301.503298
0 1 0 42.470211 19.658154
0 1 1 44.670996 54.201184
0 1 2 50.821657 14.494402
0 0 4 54.800065 101.947664
0 1 3 60.041596 32.840770
0 1 4 71.695931 8.375505
1 1 0 77.708499 60.343222
1 1 2 83.857979 55.254299
0 1 5 85.652665 20.256835
0 0 6 87.307790 52.960909
0 2 0 92.836501 6.239486
0 2 1 94.356332 18.446469
0 2 2 98.938732 5.905011
1 1 4 102.162390 46.049082
0 1 6 102.439047 5.744117
0 2 3 106.722905 16.714563
0 2 4 118.232765 5.207484
0 1 7 124.024709 15.196307
0 0 8 133.969427 38.951215
0 2 5 135.341765 14.537438
1 1 6 137.743676 38.460182
1 2 0 146.782874 4.685882
1 2 1 149.663463 13.962173
1 2 2 160.474487 4.562095
0 1 8 163.066990 4.546218
0 1 9 180.000000 6.151045
0 2 6 180.000000 2.247865
0 2 7 180.000000 6.232156
0 2 8 180.000000 1.909192
0 2 9 180.000000 5.226718
0 3 0 180.000000 33.131388
0 3 2 180.000000 32.379531
0 3 4 180.000000 30.288280
0 3 6 180.000000 27.212922
0 3 8 180.000000 23.530485
0 4 0 180.000000 1.430735
0 4 1 180.000000 4.270344
0 4 2 180.000000 1.401839
0 4 3 180.000000 4.099956
0 4 4 180.000000 1.319068
0 4 5 180.000000 3.781907
0 4 6 180.000000 1.193180
0 4 7 180.000000 3.356124
0 4 8 180.000000 1.039305
0 4 9 180.000000 2.871130
0 5 1 180.000000 2.747063
0 5 3 180.000000 2.644203
0 5 5 180.000000 2.451681
0 5 7 180.000000 2.192954
0 5 9 180.000000 1.896789
0 6 0 180.000000 8.940744
0 6 2 180.000000 8.786892
0 6 4 180.000000 8.344547
0 6 6 180.000000 7.667109
0 6 8 180.000000 6.830841
0 9 0 180.000000 2.070811
0 9 2 180.000000 2.052790
0 9 4 180.000000 2.000531
0 9 6 180.000000 1.919114
0 9 8 180.000000 1.815994
1 0 9 180.000000 6.151045
1 1 8 180.000000 32.281359
1 2 3 180.000000 6.628334
1 2 4 180.000000 2.117578
1 2 5 180.000000 6.030725
1 2 6 180.000000 1.891176
1 2 7 180.000000 5.290029
1 2 8 180.000000 1.629421
1 2 9 180.000000 4.476358
1 3 0 180.000000 1.668542
1 3 1 180.000000 4.979453
1 3 2 180.000000 1.633975
1 3 3 180.000000 4.775901
1 3 4 180.000000 1.535279
1 3 5 180.000000 4.397429
1 3 6 180.000000 1.385757
1 3 7 180.000000 3.892517
1 3 8 180.000000 1.203527
1 3 9 180.000000 3.318813
1 4 0 180.000000 17.850427
1 4 2 180.000000 17.502167
1 4 4 180.000000 16.503257
1 4 6 180.000000 14.980811
1 4 8 180.000000 13.115204
1 5 1 180.000000 2.080864
1 5 3 180.000000 2.006701
1 5 5 180.000000 1.867695
1 5 7 180.000000 1.680437
1 5 9 180.000000 1.465339
1 6 1 180.000000 1.248167
1 6 3 180.000000 1.208743
1 6 5 180.000000 1.134616
1 6 7 180.000000 1.034225
1 7 0 180.000000 3.999396
1 7 2 180.000000 3.946182
1 7 4 180.000000 3.792580
1 7 6 180.000000 3.555466
1 7 8 180.000000 3.259208
2 0 6 180.000000 2.247865
2 0 7 180.000000 6.232156
2 0 8 180.000000 1.909192
2 0 9 180.000000 5.226718
2 1 3 180.000000 6.628334
2 1 4 180.000000 2.117578
2 1 5 180.000000 6.030725
2 1 6 180.000000 1.891176
2 1 7 180.000000 5.290029
2 1 8 180.000000 1.629421
2 1 9 180.000000 4.476358
2 2 0 180.000000 28.130428
2 2 2 180.000000 27.540424
2 2 4 180.000000 25.860231
2 2 6 180.000000 23.322428
2 2 8 180.000000 20.235438
2 3 0 180.000000 1.231094
2 3 1 180.000000 3.674862
2 3 2 180.000000 1.206741
2 3 3 180.000000 3.531201
2 3 4 180.000000 1.136913
2 3 5 180.000000 3.262702
2 3 6 180.000000 1.030558
2 3 7 180.000000 2.902703
2 3 9 180.000000 2.491945
2 4 1 180.000000 2.386741
2 4 3 180.000000 2.299477
2 4 5 180.000000 2.136032
2 4 7 180.000000 1.916121
2 4 9 180.000000 1.663961
2 5 0 180.000000 7.871740
2 5 2 180.000000 7.740359
2 5 4 180.000000 7.362418
2 5 6 180.000000 6.783000
2 5 8 180.000000 6.066568
2 8 0 180.000000 1.943894
2 8 2 180.000000 1.928004
2 8 4 180.000000 1.881900
2 8 6 180.000000 1.809998
2 8 8 180.000000 1.718790
3 0 0 180.000000 33.131388
3 0 2 180.000000 32.379531
3 0 4 180.000000 30.288280
3 0 6 180.000000 27.212922
3 0 8 180.000000 23.530485
3 1 0 180.000000 1.668542
3 1 1 180.000000 4.979453
3 1 2 180.000000 1.633975
3 1 3 180.000000 4.775901
3 1 4 180.000000 1.535279
3 1 5 180.000000 4.397429
3 1 6 180.000000 1.385757
3 1 7 180.000000 3.892517
3 1 8 180.000000 1.203527
3 1 9 180.000000 3.318813
3 2 0 180.000000 1.231094
3 2 1 180.000000 3.674862
3 2 2 180.000000 1.206741
3 2 3 180.000000 3.531201
3 2 4 180.000000 1.136913
3 2 5 180.000000 3.262702
3 2 6 180.000000 1.030558
3 2 7 180.000000 2.902703
3 2 9 180.000000 2.491945
3 3 0 180.000000 13.398041
3 3 2 180.000000 13.148183
3 3 4 180.000000 12.430855
3 3 6 180.000000 11.335560
3 3 8 180.000000 9.989637
3 4 1 180.000000 1.599131
3 4 3 180.000000 1.545269
3 4 5 180.000000 1.444160
3 4 7 180.000000 1.307602
3 4 9 180.000000 1.150157
3 6 0 180.000000 3.304570
3 6 2 180.000000 3.264506
3 6 4 180.000000 3.148721
3 6 6 180.000000 2.969560
3 6 8 180.000000 2.744912
3 9 0 180.000000 1.214124
3 9 2 180.000000 1.209670
3 9 4 180.000000 1.196692
3 9 6 180.000000 1.176273
3 9 8 180.000000 1.150040
4 0 0 180.000000 1.430735
4 0 1 180.000000 4.270344
4 0 2 180.000000 1.401839
4 0 3 180.000000 4.099956
4 0 4 180.000000 1.319068
4 0 5 180.000000 3.781907
4 0 6 180.000000 1.193180
4 0 7 180.000000 3.356124
4 0 8 180.000000 1.039305
4 0 9 180.000000 2.871130
4 1 0 180.000000 17.850427
4 1 2 180.000000 17.502167
4 1 4 180.000000 16.503257
4 1 6 180.000000 14.980811
4 1 8 180.000000 13.115204
4 2 1 180.000000 2.386741
4 2 3 180.000000 2.299477
